source,target,source_lang,other_lang,translator_name,translated_text,cosine_similarity_original_translation,cosine_similarity_vs_source,cosine_similarity_vs_target
"For example, if the RV trawl catch rate for the Bay of Fundy declines, the changes within the Grid Groups should be examined","Par exemple, si le taux de prises au chalut par navire de recherche pour la baie de Fundy chute, les changements à l'intérieur des groupes de grilles devraient être examinés",en,fr,nllb_3b_base_researchonly,"Par exemple, si le taux de capture par chalute à remorque pour la baie de Fundy diminue, les changements au sein des groupes de réseau devraient être examinés.",0.8559051752090454,0.8458446860313416,0.9192363619804382
"For example, if the RV trawl catch rate for the Bay of Fundy declines, the changes within the Grid Groups should be examined","Par exemple, si le taux de prises au chalut par navire de recherche pour la baie de Fundy chute, les changements à l'intérieur des groupes de grilles devraient être examinés",en,fr,opus_mt_base,"Par exemple, si le taux de capture du chalut de la baie de Fundy diminue, les changements au sein des groupes de la grille devraient être examinés.",0.8559051752090454,0.8102827072143555,0.9254389405250549
"For example, if the RV trawl catch rate for the Bay of Fundy declines, the changes within the Grid Groups should be examined","Par exemple, si le taux de prises au chalut par navire de recherche pour la baie de Fundy chute, les changements à l'intérieur des groupes de grilles devraient être examinés",en,fr,opus_mt_finetuned,"Par exemple, si le taux de capture au chalut par navire de recherche pour la baie de Fundy diminue, les changements au sein des groupes de grilles devraient être examinés.",0.8559051752090454,0.8238216638565063,0.9630040526390076
"For example, if the RV trawl catch rate for the Bay of Fundy declines, the changes within the Grid Groups should be examined","Par exemple, si le taux de prises au chalut par navire de recherche pour la baie de Fundy chute, les changements à l'intérieur des groupes de grilles devraient être examinés",en,fr,m2m100_418m_base,"Par exemple, si le taux de capture RV pour la baie de Fundy diminue, les changements au sein des groupes de réseau devraient être examinés.",0.8559051752090454,0.836862325668335,0.8756894469261169
"For example, if the RV trawl catch rate for the Bay of Fundy declines, the changes within the Grid Groups should be examined","Par exemple, si le taux de prises au chalut par navire de recherche pour la baie de Fundy chute, les changements à l'intérieur des groupes de grilles devraient être examinés",en,fr,m2m100_418m_finetuned,"Par exemple, si le taux de capture du chalut de la RV dans la baie de Fundy diminue, les changements dans les groupes de grilles devraient être examinés.",0.8559051752090454,0.8414482474327087,0.9084445238113403
"For example, if the RV trawl catch rate for the Bay of Fundy declines, the changes within the Grid Groups should be examined","Par exemple, si le taux de prises au chalut par navire de recherche pour la baie de Fundy chute, les changements à l'intérieur des groupes de grilles devraient être examinés",en,fr,mbart50_mmt_base,"Par exemple, si le taux de prise de chalut RV dans la baie de Fundy diminue, il faudrait examiner les changements au sein des groupes de réseau.",0.8559051752090454,0.8552213907241821,0.8728582262992859
"For example, if the RV trawl catch rate for the Bay of Fundy declines, the changes within the Grid Groups should be examined","Par exemple, si le taux de prises au chalut par navire de recherche pour la baie de Fundy chute, les changements à l'intérieur des groupes de grilles devraient être examinés",en,fr,mbart50_mmt_finetuned,"Par exemple, si le taux de capture au chalut pour la baie de Fundy diminue, les changements dans les groupes de grille devraient être examinés.",0.8559051752090454,0.8039398193359375,0.9285499453544617
"(1994) ont réalisé des relevés aériens photographiques dans le détroit de Peel, l'inlet Prince-Régent, l'inlet de l'Amirauté et une partie du détroit d'Eclipse en 1984","(1994) conducted aerial photo surveys in Peel Sound, Prince Regent Inlet, Admiralty Inlet and part of Eclipse Sound in 1984",fr,en,nllb_3b_base_researchonly,"(1994) carried out aerial photographic surveys in the Peel Strait, Prince Regent Inlet, Admiralty Inlet and part of the Eclipse Strait in 1984",0.8845264911651611,0.9150658845901489,0.9580256938934326
"(1994) ont réalisé des relevés aériens photographiques dans le détroit de Peel, l'inlet Prince-Régent, l'inlet de l'Amirauté et une partie du détroit d'Eclipse en 1984","(1994) conducted aerial photo surveys in Peel Sound, Prince Regent Inlet, Admiralty Inlet and part of Eclipse Sound in 1984",fr,en,opus_mt_base,"(1994) conducted aerial photographic surveys in Peel Strait, Prince Regent Inlet, Admiralty Inlet and part of Eclipse Strait in 1984",0.8845264911651611,0.9170213937759399,0.9591026306152344
"(1994) ont réalisé des relevés aériens photographiques dans le détroit de Peel, l'inlet Prince-Régent, l'inlet de l'Amirauté et une partie du détroit d'Eclipse en 1984","(1994) conducted aerial photo surveys in Peel Sound, Prince Regent Inlet, Admiralty Inlet and part of Eclipse Sound in 1984",fr,en,opus_mt_finetuned,"Photographic aerial surveys were conducted in Peel Strait, Prince Regent Inlet, Admiralty Inlet and part of Eclipse Strait in 1984.",0.8845264911651611,0.8634021878242493,0.8365039825439453
