source,target,source_lang,other_lang,translator_name,translated_text,cosine_similarity_original_translation,cosine_similarity_vs_source,cosine_similarity_vs_target
Greenland halibut stock distribution was then limited to the Estuary and the head of the Gulf channels.,La distribution du stock de flétan du Groenland se limitait alors à l'Estuaire et à la tête des chenaux du Golfe.,en,fr,nllb_3b_base_researchonly,La distribution du stock de flétan du Groenland était alors limitée à l'estuaire et à la tête des canaux du Golfe.,0.9043633937835693,0.8961981534957886,0.9460586309432983
Greenland halibut stock distribution was then limited to the Estuary and the head of the Gulf channels.,La distribution du stock de flétan du Groenland se limitait alors à l'Estuaire et à la tête des chenaux du Golfe.,en,fr,opus_mt_base,La répartition des stocks de flétan noir était alors limitée à l'estuaire et à la tête des chenaux du Golfe.,0.9043633937835693,0.82436203956604,0.8579332828521729
Greenland halibut stock distribution was then limited to the Estuary and the head of the Gulf channels.,La distribution du stock de flétan du Groenland se limitait alors à l'Estuaire et à la tête des chenaux du Golfe.,en,fr,opus_mt_finetuned,La répartition des stocks de flétan du Groenland a ensuite été limitée à l'estuaire et à la tête des chenaux du Golfe.,0.9043633937835693,0.9080545902252197,0.9380213022232056
Greenland halibut stock distribution was then limited to the Estuary and the head of the Gulf channels.,La distribution du stock de flétan du Groenland se limitait alors à l'Estuaire et à la tête des chenaux du Golfe.,en,fr,m2m100_418m_base,La distribution de la moitié des stocks de la Grèce était alors limitée à l'Estuarie et au chef des canaux du Golfe.,0.9043633937835693,0.7711060643196106,0.7846561074256897
Greenland halibut stock distribution was then limited to the Estuary and the head of the Gulf channels.,La distribution du stock de flétan du Groenland se limitait alors à l'Estuaire et à la tête des chenaux du Golfe.,en,fr,m2m100_418m_finetuned,La distribution du stock de flétan du Groenland a ensuite été limitée à l'estuaire et à la tête des chenaux du golfe.,0.9043633937835693,0.9017865061759949,0.9370781779289246
Greenland halibut stock distribution was then limited to the Estuary and the head of the Gulf channels.,La distribution du stock de flétan du Groenland se limitait alors à l'Estuaire et à la tête des chenaux du Golfe.,en,fr,mbart50_mmt_base,La répartition des stocks de flétan du Groenland était alors limitée à l'estuaire et à la tête des canaux du Golfe.,0.9043633937835693,0.8928123116493225,0.9374002814292908
Greenland halibut stock distribution was then limited to the Estuary and the head of the Gulf channels.,La distribution du stock de flétan du Groenland se limitait alors à l'Estuaire et à la tête des chenaux du Golfe.,en,fr,mbart50_mmt_finetuned,La répartition du stock de flétan du Groenland était alors limitée à l'estuaire et à la tête des chenaux du Golfe.,0.9043633937835693,0.8945255279541016,0.9533979296684265
Trois décennies d'observations annuelles ont livré une série chronologique qui permet désormais d'examiner les tendances pluriannuelles de toutes les variables clés des écosystèmes.,"With nearly three decades of annual surveys, the time series now allows an examination of multiyear trends in all key ecosystem variables.",fr,en,nllb_3b_base_researchonly,Three decades of annual observations have yielded a time series that now allows the examination of multiannual trends in all key ecosystem variables.,0.824318528175354,0.8853026628494263,0.9078925251960754
Trois décennies d'observations annuelles ont livré une série chronologique qui permet désormais d'examiner les tendances pluriannuelles de toutes les variables clés des écosystèmes.,"With nearly three decades of annual surveys, the time series now allows an examination of multiyear trends in all key ecosystem variables.",fr,en,opus_mt_base,Three decades of annual observations have yielded a time series that now makes it possible to examine multi-year trends in all key ecosystem variables.,0.824318528175354,0.8794960379600525,0.9105587601661682
Trois décennies d'observations annuelles ont livré une série chronologique qui permet désormais d'examiner les tendances pluriannuelles de toutes les variables clés des écosystèmes.,"With nearly three decades of annual surveys, the time series now allows an examination of multiyear trends in all key ecosystem variables.",fr,en,opus_mt_finetuned,Three decades of annual observations have produced a time series that now allows multi-year trends in all key ecosystem variables to be examined.,0.824318528175354,0.8736134767532349,0.8943732976913452
Trois décennies d'observations annuelles ont livré une série chronologique qui permet désormais d'examiner les tendances pluriannuelles de toutes les variables clés des écosystèmes.,"With nearly three decades of annual surveys, the time series now allows an examination of multiyear trends in all key ecosystem variables.",fr,en,m2m100_418m_base,Three decades of annual observations have delivered a chronological series that now allows to examine the multiannual trends of all key ecosystems variables.,0.824318528175354,0.8873327970504761,0.8825522661209106
Trois décennies d'observations annuelles ont livré une série chronologique qui permet désormais d'examiner les tendances pluriannuelles de toutes les variables clés des écosystèmes.,"With nearly three decades of annual surveys, the time series now allows an examination of multiyear trends in all key ecosystem variables.",fr,en,m2m100_418m_finetuned,Three decades of annual observations provided a time series that now enables examination of multi-year trends in all key ecosystem variables.,0.824318528175354,0.888982892036438,0.9072751998901367
Trois décennies d'observations annuelles ont livré une série chronologique qui permet désormais d'examiner les tendances pluriannuelles de toutes les variables clés des écosystèmes.,"With nearly three decades of annual surveys, the time series now allows an examination of multiyear trends in all key ecosystem variables.",fr,en,mbart50_mmt_base,Three decades of annual observations have produced a chronological series that now allows multi-year trends of all key ecosystem variables to be examined.,0.824318528175354,0.8852719068527222,0.8756534457206726
Trois décennies d'observations annuelles ont livré une série chronologique qui permet désormais d'examiner les tendances pluriannuelles de toutes les variables clés des écosystèmes.,"With nearly three decades of annual surveys, the time series now allows an examination of multiyear trends in all key ecosystem variables.",fr,en,mbart50_mmt_finetuned,Three decades of annual observations have provided a time series that now allows multi-year trends of all key ecosystem variables to be examined.,0.824318528175354,0.8877081871032715,0.9006139039993286
"In reality, with regard to Goal 1, under the CBD, there is considerable latitude in the range of outcomes that can be considered as contributing to the conservation of biodiversity (see text box), and even single species protection does constitute protection of biodiversity.","En réalité, en ce qui concerne le but 1, en vertu de la CDB, il existe une latitude considérable dans l'éventail de résultats pouvant être considérés comme contribuant à la conservation de la biodiversité (se reporter à la zone de texte), et même la protection d'une seule espèce constitue une protection de la biodiversité.",en,fr,nllb_3b_base_researchonly,"En réalité, en ce qui concerne l'objectif 1, dans le cadre de la CDB, il existe une marge de manœuvre considérable dans l'éventail des résultats qui peuvent être considérés comme contribuant à la conservation de la biodiversité (voir encadré), et même la protection d'une seule espèce constitue une protection de la biodiversité.",0.9312273859977722,0.9262681007385254,0.9748287200927734
